번호,데이터고유번호,기관기업고유번호,기술명칭,도시,직위
100,44589,32177,Cast Oxide Material of Al2O3-Cr2O3,moscow, 
101,44592,32177,Cast Oxide Material SiO2-Cr2O3 “Plamticast”,moscow, 
102,44603,32177,Cr3C2 +Ni&#8226;Al Composite Powder,moscow, 
103,44604,32177,Cr-Ti-B + Ni-Mn-Al Composite Powder,moscow, 
104,44605,32178,Measurement devices on PC sound card,moscow, 
105,44639,32414,multiparameter rules of classification,moscow, 
106,44659,32411,New opportunities of school education,moscow, 
107,44682,34224,저원가고성능나일론블렌딩기술,아시아, 
108,44687, ,CFD software project GIMM,moscow, 
109,44688,32177,Boron Nitride SHS Items,moscow, 
110,44690,34224,아크릴로니트릴 공업화 제조기술,아시아, 
111,44691,34224,Benzaldoxime 생산기술,아시아, 
112,44693,30562,신형 폴리아미드 curing agent,아시아, 
113,44698,33131,"자동차전자제품, 부속품 자동화 설비",아시아, 
114,44700,33129,방범용나사너트,아시아, 
115,44701,34215,컴퓨터설계도관리시스템,아시아, 
116,44702,32318,Computer speech recognition in the interactive information s,moscow, 
117,44703,32318,Experience with new standards in the system of certification,moscow, 
118,44709,33046,이온액체,아시아, 
119,44710,34204,항종양1류신약Goniothalamus cheliensis Hu(GC-51)연구,아시아, 
120,44711,33045,에너지효율이 높은 수처리 시스템- 생물접촉회전판,아시아, 
121,44730,32592,Carbidic silicide of titanium Ti3SiC2,러시아, 
122,44760,32592,Carbothermal processing,러시아, 
123,44780,32177,Cast Alloy Production Method under Combustion Mode,러시아, 
124,44781,32172,Cold cathode ion beam sources for reactive ion beam etching,러시아, 
125,44807,32188,GIS based System of Hydroacoustic and Radar Calculations,moscow, 
126,44809,32318,Industrial Infomatization,러시아, 
127,44830,32175,mechanomagnitopulse technologies,moscow, 
128,44840,32186,Fiber-optic fuse,러시아, 
129,44841,32177,"High-Porous Materials, Filters",러시아, 
130,44842,32318,Operator system,러시아, 
131,44843,32184,Porous Materials based on Collagen “Porocoll”,러시아, 
132,44846,32592,Nano and submicro sized staple fibre,러시아, 
133,44848,32187,X-ray high-resolution optic’s,러시아, 
134,44852, ,"Fine refractory oxides, carbides, oxygen compounds",러시아, 
135,44854,32316,Sewage treatment from impurity(admixture) of fluorine,러시아, 
136,44856,32177,SHS complex titanium-chromium carbide powder,러시아, 
137,44857,32177,SHS Electrodes For Electro-Spark Alloying,러시아, 
138,44859,34112,Intellectual laser medical system Perfocor,러시아, 
139,44860,34112,Laser stereolithography and its application in medicine,러시아, 
140,44862,32177,SHS SiAlON Powders,러시아, 
141,44863,32172,Tomography of plasma sources on basis OES,러시아, 
142,44864,32292,Determination of gaseous impurities in wide variety of solid,러시아, 
143,44866,32186,Double-clad optical fibers,러시아, 
144,44867,34112,Narrow-band Bragg filters for 1.5 m range,러시아, 
145,44868,34112,Optical elements for industrial CO2 laser systems,러시아, 
146,44870,34112,Laser-plasma deposition of thin films,러시아, 
147,44871,32291,Scanner for space control of laser beam,러시아, 
148,44872,34103,The Package of Unique Russian Technologies (East-West Tec,러시아, 
149,44875,32175,Ecologically friendly and chemically safe preparations for m,러시아, 
150,44876,32316,Efficient sorbents and pigments of their waste products of e,러시아, 
151,44877,32175,Electrochemical polishing of the silver - copper alloys,러시아, 
152,44878,32186,Er-doped fibers,러시아, 
153,44879,32186,Fibers with non-standard geometry,러시아, 
154,44880, ,ion-exchange process of recovery of iodine from solutions,러시아, 
155,44881,34112,Optical elements for industrial CO2 laser systems-1,러시아, 
156,44882,32592,Lignine-Cellulose powder material,러시아, 
157,44891,30740,TDK가 고정밀도의 전자파 측정이 가능한 전파암실동,동경도, 
158,44892,30551,초고분자량 폴리에틸렌섬유 최신기술,상해, 
159,44893,30552,多사이즈 Ordered 多孔재료 제조 기술,북경,연구원
160,44894,30553,나노분자 기능재료,복주, 
161,44895,30552,fe-based 초전도체 연구 성과,북경,연구원
162,44896,30555,DC 450형 금강석막 침적설비,료녕/심양, 
163,44897,30556,RH6 arc welding 로봇,료녕/심양, 
164,44898,30557,탄소나노파이프 재료의 preparation 기술,사천/성도, 
165,44899,30558,디젤유배기가스 정화 DPF 다공(孔)금속carrier프로젝트(디젤유과립여과기),상해, 
166,44900,30559,통용inverter,절강/항주, 
167,44901,30560,금속표면처리계열 기술제품,북경, 
168,44902,30559,쾌속pulse 충전기,절강/항주, 
169,44903,30561,폐기 오일 재 연소 기술,상해, 
170,44904,30562,100% 스테인리스강 섬유원단 기술,북경, 
171,44905,30562,Organosilane 고순도 정제기술,북경, 
172,44906,30562,PP/PE 공장의 배기가스 C2-C6 회수 기술,북경, 
173,44907,30752,생물질순환 fluidized bed 기화발전장치기술,광주, 
174,44908,30753,결정체실리콘태양에너지전지산업화 제품 개발기술,상해, 
175,44909,30754,Mncr 계열의 플라스틱금형강재료,무한, 
176,44910,30755,"방직영역에서의 나노超水, 油수송재료의 실용기술",무한, 
177,44911,30756,Vacuum curved surface laminating machine,절강/ 려수, 
178,44912,30757,태양에너지 photovoltaic전지조립부품덮개유리,무한, 
179,44913,30758,HT-500형 고온마찰마손실험기,란주, 
180,44914,30759,액체나노 이산화실리콘교질용액 제품,상해, 
181,44915,30760,여러 개 single-chip computer로 구성된 전문제어기,금화, 
182,44916,30761,플라스틱제품 표면처리의 megnettron sputtering플리스틱박막금속화기술,온주, 
183,44917,30762,쾌속성형제조시스템,서안, 
184,44918,30763,주파수변환기 기술,정주, 
185,44919,30764,TD-SCDMA시스템의 복합위치측정방식 기술,녕파, 
186,44920,30765,직류브러시전기소음제어기술,녕파, 
187,44921,30850,"와콤, 19형 디스플레이 탑재한 액정 pen tablet",사이타마현,대표이사
188,44922,30851,"마츠시타전공(松下電工) 등, 크세논(xenon) 가스로 고효율의 조명을 위한 발광 디바이스 개발",오사카후,대표취체역 사장
189,44923,30879,「멀티태스킹 내시경 시스템」,도쿄도,대표취체역 사장
190,44924,30882,초소형 6 MHz 스텝 다운형 DC/DC 컨버터,도쿄도,대표이사 사장
191,44925,30884,불소수지나 실리콘 등을 사용한 공업용 특수호스의 가공,치바현,대표이사
192,44926,30885,차세대 LED 조명 개발,도쿄시,대표취체역사장
193,44927,31077,SiC 소자를 사용한 차량용 인버터 개발,도쿄도,대표이사
194,44928,31034,“마그네슘 진동판”을 채용한 하이파이 스피커 발매,요코하마시,代表取締役社長
195,44929,30884,1조분의 1을 실현하는 가공 기술,치바시,사장
196,44930,31109,광섬유 레이저 발생기(sample),청도, 
197,44931,31159,시만텍 세계 최고속도의 세큐리티 제품 노톤 2009를 발표,도쿄도,代表取締役社長
198,44932,31238,혼다자동차 「멀티 뷰 카메라 시스템」개발,도쿄도,取締役社長　
199,44933,31077,도장공장의 환경부하를 반감하는 도장기술을 개발,도쿄도,대표이사사장
200,44934,31239,상온 프레스 가공이 가능한 신마그네슘 합금 압연재를 개발,도쿄도,이사장
201,44935,31076,KDDI연구소 나고야공업대학과 공동으로 음성 합성기술을 개발,사이타마현,代表取締役社長
202,44936,31245,방사선을 이용한 연료전지 전해질막 개발,이바라키현,이사장
203,44937,31246,알루미늄 금형·제품의 자동연마 시스템 개발,도쿄도,代表取締役社長
204,44938,31247,500만 화소 대응의 외관검사를 위한 시각센서,교토시,대표취체역사장
205,44939,31248,1초에 500킬로바이트 전송 할 수 있는 적외선 IC 개발,교토시,代表取締役社長
206,44940,31249,NEC 포토닉(photonic)결정을 이용한 광통신용 광스위치 기술을 개발,도쿄도,회장
207,44941,31254,열화하기 어려운 직접발전형 연료전지의 전극 개발,도쿄도,학장
208,44942,31255,자원으로 다시 태어나는 CO2,도쿄도,代表取締役社長
209,44943,31061,스테인레스 보다 방사선·열에 10배 강한 합금재를 개발,교토시, 
210,44944,31263,죠오치대 실온에서 작동하는 신물질 기억소자를 개발,도쿄도,학장
211,44945,31264,Antibodies for toxin-free chicken,"BT4 3SD BELFAST, 영국", 
212,44946,31265,Finding the price tag for alternative fuel,"OXFORDSHIRE, 영국", 
213,44947,31266,A clean alternative truck,"SWEDEN, GOTEBORG", 
214,44948,31267,City parking for maximum effect,Cork/IRELAND, 
215,44949,31268,Alternative fuel injection boosts diesel engines,GRAZ/AUSTRIA, 
216,44950,31269,Advanced turbulent heat transfer for IC-engines,CJ Delft/NETHERLANDS, 
217,44951,31270,Solutions to secure the excavated disturbed zone,Mol/BELGIUM, 
218,44952,31271,Finding hydrocarbon reserves with cyclopropane,Kjeller/NORWAY, 
219,44953,31272,Palladium membranes to optimise hydrogen production,COVENTRY, 
220,44954,31275,SiC for high temperature electronics,"Cerdanyola del Valles, SPAIN", 
221,44955,31276,"Inexpensive, sustainable production of bioethanol","Surrey, UK", 
222,44956,31277,Refineries for bioethanol and power production,Skærbæk/DENMARK, 
223,44957,31278,Distribution of Electrical power and fault isolation,SMH Grenoble/FRANCE, 
224,44958, ,高難燃性 바이오매스·플라스틱을 개발,도쿄도,代表取締役 會長
225,44959,31284,무조건에서 안전한 양자 암호 키 配信으로 세계 최고속도 달성,도쿄도,取締役 代表執行役 社長
226,44960,31286,HCPC(High Concentration Photovoltaic) Power Genereration System,Torrance, 
227,44961,31287,Development of cost-effective biocatalysts capable of increasing product yield,Toledo,President
228,44962,31297,Novel microchannel reactor to reform pyrolysis oil to synthesis gas,Hoboken,President
229,44963,31298,Evalutation the oil content of algae cultures for higher rate of production,Bozeman,Commissioner
230,44964,31299,Development of novel method to supply nutrients to oil-producing algal systems,Athens, 
231,44965,31300,Develop optimal yield and productivity of high potential bacteria at moderate to high temperature,Orono, 
232,44966,31301,Maximize synthesis gas yield from an optimized gasifier,Atlanta, 
233,44967,31256,New cell architecture and related processes for low-cost multi-crystalline silicon cells,Lexington, 
234,44968,31258,Development of high efficiency low cost solar cells and modules by ink-jet printing,Sunnyvale, 
235,44969,31259,Design for three-junction tandem solar cells on a Gallium Arsenide substrate,Bedford, 
236,44970,31239,테라헤르츠대의 광대역·초저잡음 수신기를 개발,도쿄도,이사장
237,44971,31302,투명한 절연체를 전계효과로 초전도물질에 변환,미야기현,총장
238,44972,31303,초경 드릴 공동개발,효고현,대표취체역사장
239,44973,31306,Flexible Silicon Solar Cells: Thin but efficient solar cells use 10% silicon of conventional cells.,Champaign,Professor of material science
240,44974,31307,저소비 전력타입의 40 나노 반도체 생산,도쿄도,代表取締役社長
241,44976,31329,오목한 Escher형 copper sulphide 14면체 마이크로결정체구조,북경, 
242,44977,31331,전기 히터와 에너지 절약,STJOERDAL/NORWAY, 
243,44978,31332,업계 최소 중국 모바일 방송 수신용 튜너 모듈을 개발,오사카시,代表取締役會長 兼 CEO
244,44979,31333,전력 생산을 위한 지능적 전력분배,Vasteras/SWEDEN, 
245,44980,31334,미래 가상 시설에서의 정전방지,SWEDEN Ronneby, 
246,44981,31335,전력 시스템의 강건성에 대한 모니터링,SMH Grenoble/FRANCE, 
247,44982,31336,High silicon 철강,BOCHUM/GERMANY, 
248,44983,31337,전력시스템 운영 안정화,SMH Grenoble/FRANCE, 
249,44984,31338,하이브리드 자동차를 위한 충전 시스템,Villefontaine/FRANCE, 
250,44985,31342,엔진 연소실 내의 열 전달 모델링,GERMANY Stuttgart, 
251,44986,31343,미래 에너지 자원으로서의 태양과 물,HOLTE/DENMARK, 
252,44987,31344,바이오 매스 에너지를 위한 나무의 이용,MADRID/SPAIN, 
253,44988,31345,에너지 자원으로써의 돼지 거름,Gemert/NETHERLANDS, 
254,44989,31346,진공에서 적용 가능한 신 코팅 접착제,HANAU/GERMANY, 
255,44990,31349,미래 대체 연료,LYNGBY/DENMARK, 
256,44991,31350,해양 풍력 터빈의 취약성을 감소시키기 위한 기술,Petten/NETHERLANDS, 
257,44992,31351,핵 폐기물 관리,Wettingen/SWITZERLAND, 
258,44993,31352,풍력 터빈의 공탄성 안정성을 위한 tool,ATHENS/GREECE, 
259,44994,31353,Boom clay 수평갱도에서의 굴착 효과,Mol/BELGIUM, 
260,44995,31354,바이오 가스로 전환시키는 Supercritical water,ENSCHEDE/NETHERLANDS, 
261,44996,31355,무독성 닭을 위한 항체,BELFAST/UK, 
262,44997,31356,자연광을 통한 식수 정화,MADRID/SPAIN, 
263,44998,31357,유전자 조작 젖산 박테리아 개발,Madrid/SPAIN, 
264,44999,31358,Seegrass(거머리말)를 통한 생태 시스템 피해 분석,Barcelona/SPAIN, 
265,45000,31359,치즈 내 젖산 박테리아 검출을 위한 PCR법,Villaviciosa/SPAIN, 
266,45001,31360,올리브유 폐수 내 콜레스테롤 제거,Sfax/TUNISIA, 
267,45002,31361,새로운 당류 산화 방법,MILANO/ITALY, 
268,45003,31362,치과 기록을 통한 골다공증 예측,Amsterdam, 
269,45004,31363,건강 요구르트 제조,HOERSHOLM/DENMARK, 
270,45005,31364,항 감염성분이 포함된 밀,Tulln/AUSTRIA, 
271,45006,31365,Grey mullet의 탈출 행위 연구,Torregrande/ITALY, 
272,45007,31366,탁한 물이 대구 생존에 미치는 영향,Bergen/NORWAY, 
273,45008,31367,수술 전후 보행능력 평가 시스템 연구,Oxford/UK, 
274,45009,31368,암세포로의 혈액 공급 차단 연구,Dresden/GERMANY, 
275,45010,31369,사과 내 벌레 제거 연구,Ellesmere Port/UK, 
276,45011,31371,알프스 지역의 농업 종사자 지원,Saint Baldolph/FRANCE, 
277,45012,31372,자가치유를 하는 밀 개발,"Norwich,UK", 
278,45013,31373,소의 lameness 연구,BERLIN/GERMANY, 
279,45014,31374,정신 보건 기관 내 폭력 사건 추적,London/UK, 
280,45015,31375,포플러 나무의 발전된 분석법,STOCKHOLM/SWEDEN, 
281,45016,31376,삼림 관리 기법 고찰,Firenze/ITALY, 
282,45017,31377,유선염에 대한 유전자 표식 개발,TJELE/DENMARK, 
283,45018,31378,lupin 단백질 분리체를 생산하는 공정 연구,FREISING/GERMANY, 
284,45019,31379,와인 산업의 온라인 측정 도구 개발,NAPOLI, 
285,45020,31394,석탄재를 이용한 수지제 「OA 플로어 패널·에코」를 개발,나고야시,代表取締役（CEO)
286,45021,31398,기어 사용하지 않는 풍력발전기로 고장 리스크 경감,도쿄도,代表取締役社長
287,45022,31401,IH방식 히터를 채용하여 고온과열 수증기 발생 시스템을 개발,나고야시,代表取締役會長
288,45023,31411,Sticky Nanotape: Carbon-nanotube adhesive,Atlanta,Director
289,45024,31405,New development of terabyte discs and players that will work with old storage media,Niskayuna, 
290,45025,31405,Water-Repelling Metals which can keep engines and turbines dry and ice-free,Niskayuna, 
291,45026,31326,런닝코스트를 절감한 와이어 방전가공기,도쿄도,집행역사장
292,45027,31416,고전자 수송능력을 가지는 액정성 유기반도체,사이다마현,理事長
293,45029,31239,금속錯體 타입의 유기 나노 튜브의 대량 제조법,도쿄도,이사장
294,45030,31418,도쿄대학 IRT 연구기구 가사지원 로봇 개발,도쿄도,機構長
295,45031,31419,스퍼터링으로 후속공정의 열처리를 불필요하게 하는 저온 성막기술 확립,아이치현,학장
296,45032,31326,생산성을 향상시킨 탄산가스 이차원 레이저 가공기,도쿄도,집행역 사장
297,45033,31281,태양열에너지 광전기 전환 및 기능 소재,광주,소장
298,45034,31281,5MW 바이오매스 가스화 및 유기폐기물 연소 공동 발전 시스템,광주,소장
299,45035,31281,일산 10톤 파도 에너지 직접 해수담수화 파일럿 시스템,광주,소장
300,45037,31470,넓은 주파수대에서 동작하는 하이브리드형 증폭기,가와사키시,代表取締役社長
301,45038,31473,건성 가스 에틸 벤젠 기술 산업화,대련, 
302,45040,31483,옥외에서도 보기 쉬운 TFT 액정 개발,나가노현,代表取締役社長
303,45041,31239,테라헤르츠파를 1대의 수신기로 검출,도쿄도,이사장
304,45044,31501,초저 소비전력 비디오 버퍼 IC,도쿄도,代表取締役社長
305,45045,31502,알루미나 같은 수준으로 열팽창 억제한 복합재료를 제작,오사카시,所長
306,45046,31503,신형 리튬 이온 전지 소재 개발,청해, 
307,45047, ,폐기 플라스틱과 플라이 에쉬 복합 신소재의 개발 및 이용,길림, 
308,45048,31302,「흑연 초전도체」의 메카니즘을 해명,미야기현,조교
309,45049,31279,레어 메탈을 이용하지 않는 고효율의 소형모터 기술을 개발,도쿄도,代表執行役 社長
310,45050,31506,저가격·소형의 지갑 휴대폰(R)용 리더 라이터 개발,도쿄도,사장
311,45052,31401,고효율 수냉식 스크류 치라「하이 에프 미니 II」개발,나고야시,代表取締役會長
312,45054,30752,소형 고효율 에너지절약 해수 반삼투 담수화 장치,광주, 
313,45055,31529,척수 수술 효능 향상을 위한 내시경 개발,Montpellier, 
314,45056,31530,PSV사용시 흉곽의 메커니즘과 변화 연구,Milano, 
315,45057,31532,Wholemeal bread에서 포도당 방출 속도 늦추기,Groningen, 
316,45058,31534,SRLV 백신을 위한 MVV viral vector 연구,CAMBRIDGE, 
317,45059,31539,핵폐기물을 위한 지리적 저장고 탐색,Braunschweig, 
318,45060,31540,신재생 에너지 기술 평가 매트릭스,Northampton, 
319,45061,31542,호열 유기효소와 바이오에탄올 생산,"Espoo, FINLAND", 
320,45062,31543,태양 전지 산업에서의 재활용,Leinfelden-Echterdingen, 
321,45063,31541,Lentivirus 단백질 발현 연구,GRUGLIASCO, 
322,45064,31544,Negative Potential Dissolution의 최적화,"Haifa, 이스라엘", 
323,45065,31545,황 수송이 식물 영양소 생성에 미치는 영향 연구,Harpenden, 
324,45066,31546,암 전이 및 침습 방지 연구,STEVENAGE, 
325,45067,31355,닭고기 내 약품 잔류물 측정,BELFAST, 
326,45068,31548,치즈 및 와인 내 biogenic amine 연구,Villaviciosa, 
327,45069,31549,Glucosinolate 와 식물의 해충 저항성 연구,Jena, 
328,45070,31550,환경 오염이 염증에 미치는 영향 연구,Neuherberg, 
329,45071,31530,COPD 환자의 흉곽 부피에 운동이 미치는 영향,Milano, 
330,45072,31551,유기 아민 생성 효소 활성에 관한 연구,HAREN GN, 
331,45073,31530,기도축소에 대한 효과적인 치료법,Milano, 
332,45074,31552,부패 방지를 위한 새로운 기법 개발,ATHENS, 
333,45075,31553,고/저 glycemia 함량 식단 연구,LYON, 
334,45076,31554,애기장대의 성장에 영향을 미치는 유전자 확인,Wageningen, 
335,45077,31555,어린이 알레르기를 유발하는 요인 연구,Atlanta, 
336,45078,31556,젖산 박테리아 (LAB) 의 정보 획득 연구,Dijon, 
337,45079,31557,혈장 내 지방산 기작 연구,Nantes, 
338,45080,31558,더 많은 영양을 보존할 수 있는 치즈 제조법,Sassari, 
339,45081,31559,음이온에 대한 새로운 진단 기술,"Dublin, 아일랜드", 
340,45082,31560,효율적인 태양전지 에너지 생산,"Rome, 이탈리아", 
341,45083,31561,물 정화를 위한 태양의 활용,"St Andreu de Llavaneres, 스페인", 
342,45084,31562,산업용 태양전지를 위한 알루미늄과 붕소의 사용,"Jerusalem, 이스라엘", 
343,45085,31563,silicon nitride를 이용한 태양전지 효율성 향상,EMMERTHAL, 
344,45086,31564,해상용 풍력발전기의 신뢰성 향상,"VOJENS, 덴마크", 
345,45087,31565,음이온펄스와 nuclear fusion,Hamburg, 
346,45088,31566,친환경 조력발전,"MOSCOW, 러시아", 
347,45089,31567,"바다, 에너지의 미래","RAPHINA, 그리스", 
348,45090,31568,floating wave energy converter의 평가,"모스크바, 러시아", 
349,45091,31569,Arctic 지역을 위한 조력 에너지,BERLIN, 
350,45092,31570,디젤엔진 연구를 위한 실험데이터,"Goteborg, 스웨덴", 
351,45093,31568,파도의 이용,"MOSCOW, 러시아", 
352,45094,31571,신재생에너지의 새로운 접근,Amsterdam, 
353,45095,31572,새로운 타입의 코팅을 위한 나노기술,"Grenchen, 스위스", 
354,45096,31573,친환경 인젝션 노즐,"Gillingham, 영국", 
355,45097,30990,크롬과 카본을 이용한 나노코팅,Dresden, 
356,45098,31574,항공기 엔진의 수명 연장,"CORK, 아일랜드", 
357,45099,31576,방음장치를 장착한 청정 도시 운송수단,"Rotterdam, 네덜란드", 
358,45101,31578,지능화 밀봉 기능 테스트 시스템,안휘성 합비시, 
359,45102,31583,로테르담의 전기자동차,로테르담, 
360,45103,31584,DNA를 기반으로 한 대장균에 대한 빠르고 저렴한 분석,Siena, 
361,45104,31551,식품 내 아민 생산 경로 차단 연구,HAREN GN, 
362,45105,31585,Probiotics의 항 살모넬라균 효과와 기작 연구,BRUSSELS, 
363,45106,31586,어린이의 항생제 저항성 연구,Stockholm, 
364,45107,31532,녹말의 새로운 건강상 효능 연구,Groningen, 
365,45108,31587,임신 중 태아의 알러지성 질병에 미치는 환경 영향 연구,Bristol, 
366,45109,31588,나무 먼지와 sino-nasal cancer의 관계,KOEPENHAGEN, 
367,45110,31551,종양 모세혈관 형성 억제를 시키는 viral vector,Groningen, 
368,45111,31600,무선 LAN 영상 등 품질향상의 다이나믹·패킷통신 제어방식,치바현,학장
369,45114,31602,Bloodf-Stanching Gauze,"Wallingford, Connecticut",COO
370,45115,31603,Color E-Paper Debuts - The first device with a display that can be read in direct sunlight hits the market.,"San Diego, California", 
371,45116,31604,First Pocket Untrasound,"Malvern, PA", 
372,45117,31586,혁신적인 항생제 투입 이용,Stockholm, 
373,45118,31587,태반을 통한 태아로의 살충제 이동 연구,Bristol, 
374,45119,31606,조직 생성을 위한 뼈대의 플라즈마 살균법,Nottingham, 
375,45120,31607,흡입된 목재 먼지의 영향 연구,Munich, 
376,45121,31608,새로운 발상이 Winchester시의 도로교통을 향상시킨다.,WINCHESTER/UK, 
377,45122,31609,도시우수관리를 위한 새로운 접근법,DEVENTER, 
378,45123,31610,습지에서 기후변화데이터를 확보한다.,Bristol/UK, 
379,45124,30483,산소화 지르코늄 세라믹,상해, 
380,45126,30483,금속 할로겐화물 발광관,상해, 
